Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/25/2024,07/29/2024,BOMBAY CAFE,Food & Drink,Sale,-51.97,
07/27/2024,07/28/2024,GOLDEN CORRAL 2496,Food & Drink,Sale,-14.00,
07/27/2024,07/28/2024,SALT LAKE EXPRESS,Travel,Sale,-49.34,
07/26/2024,07/28/2024,DIGBY'S MARKET,Groceries,Sale,-70.65,
07/27/2024,07/28/2024,TARGET        00013573,Shopping,Sale,-25.60,
07/24/2024,07/26/2024,BURGER KING #4447,Food & Drink,Sale,-2.40,
07/25/2024,07/26/2024,VendingCustomerService.co,Shopping,Sale,-7.58,
07/25/2024,07/26/2024,CHEVRON 0385252,Gas,Sale,-28.38,
07/24/2024,07/26/2024,CHICK-FIL-A TERM B SJC,Food & Drink,Sale,-19.29,
07/23/2024,07/25/2024,ST. GEORGE SHUTTLE,Travel,Sale,-71.48,
07/24/2024,07/25/2024,APPLE.COM/BILL,Shopping,Sale,-2.99,
07/21/2024,07/23/2024,LITTLE CAESARS 1212 0003,Food & Drink,Sale,-22.47,
07/21/2024,07/22/2024,AMAZON MKTPL*RJ3HI0PB0,Shopping,Sale,-38.42,
07/21/2024,07/22/2024,McDonalds 778,Food & Drink,Sale,-13.62,
07/19/2024,07/21/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-69.99,
07/19/2024,07/21/2024,SAFEWAY #2607,Groceries,Sale,-60.85,
07/18/2024,07/21/2024,7-ELEVEN 16346,Gas,Sale,-8.58,
07/20/2024,07/21/2024,LYFT   *1 RIDE 07-19,Travel,Sale,-6.94,
07/17/2024,07/18/2024,AMZN Mktp US*RS5VO7PK2,Shopping,Sale,-31.97,
07/16/2024,07/17/2024,24 Hour Fitness USA  I,Health & Wellness,Return,44.70,
07/16/2024,07/16/2024,Payment Thank You-Mobile,,Payment,31420.95,
07/15/2024,07/16/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-46.19,
07/14/2024,07/15/2024,BURGER KING #4447,Food & Drink,Sale,-12.06,
07/14/2024,07/15/2024,McDonalds 778,Food & Drink,Sale,-10.47,
07/12/2024,07/14/2024,LYFT   *2 RIDES 07-10,Travel,Sale,-103.92,
07/13/2024,07/14/2024,Amazon.com*RY61S8IP0,Shopping,Sale,-12.06,
07/12/2024,07/14/2024,FASTRAK VIOLATION CENT,Travel,Sale,-7.00,
07/13/2024,07/14/2024,PAYPAL *GRUBHUB BURGERKIN,Food & Drink,Sale,-16.06,
07/09/2024,07/10/2024,PAYPAL *GRUBHUB MCDONALDS,Food & Drink,Sale,-14.46,
07/09/2024,07/10/2024,Amazon Prime*RY45K4E10,Bills & Utilities,Sale,-16.45,
07/05/2024,07/09/2024,FENG CHA,Groceries,Sale,-14.38,
