Transaction Date,Description,Category,Type,Amount
5/3/2024,SAFEWAY #2607,Groceries,Sale,-58.49
5/3/2024,PAYPAL *STEAM GAMES,Entertainment,Sale,-9.98
5/4/2024,SALT LAKE EXPRESS,Travel,Sale,-46.01
5/2/2024,BURGER KING #4447,Food & Drink,Sale,-8.06
5/1/2024,SP PREMIER YARNS.COM,Shopping,Sale,-35.93
4/30/2024,PAYPAL *BURGER KING #9268,Food & Drink,Sale,-12.48
4/26/2024,The Adobe Icebox,Food & Drink,Sale,-10.97
4/24/2024,APPLE.COM/BILL,Shopping,Sale,-2.99
4/23/2024,PY *PCRF,Gifts & Donations,Sale,-50
4/21/2024,RTI*TmobileTravel Hotels,Travel,Sale,-161.03
4/19/2024,Payment Thank You-Mobile,,Payment,803.58
4/18/2024,McDonalds 778,Food & Drink,Sale,-7.84
4/17/2024,AMERICAS-TIRE-CO CAL-15,Automotive,Sale,-638.14
4/16/2024,AMZN Mktp US*BS6O03OE3,Shopping,Sale,-9.78
4/15/2024,24 Hour Fitness USA  I,Health & Wellness,Sale,-46.19
4/16/2024,PAYPAL *SQ  THE GAME FORT,Shopping,Sale,-35
4/16/2024,Amazon.com*1W37V0H93,Shopping,Sale,-26.68
4/16/2024,AMZN Mktp US*AE4SH5GP3,Shopping,Sale,-9.82
4/14/2024,McDonalds 778,Food & Drink,Sale,-10.79
4/15/2024,Payment Thank You-Mobile,,Payment,210.33
4/14/2024,BURGER KING #4447,Food & Drink,Sale,-13.84
4/14/2024,AMZN Mktp US*OW2E36CR3,Shopping,Sale,-13.34
4/13/2024,CHATGPT SUBSCRIPTION,Shopping,Sale,-20
4/12/2024,SQ *LA BEST,Personal,Sale,-66
4/9/2024,COMMONS EAST CAFE,Food & Drink,Sale,-7.42
4/9/2024,Amazon Prime*RQ8O31960,Bills & Utilities,Sale,-16.38
4/9/2024,Amazon.com*XT9AP96H3,Shopping,Sale,-92.09
4/8/2024,AMZN Mktp US*YA8YI5FM3,Shopping,Sale,-8.44
4/9/2024,Payment Thank You-Mobile,,Payment,149.8
4/6/2024,AMZN Mktp US*0535664H3,Shopping,Sale,-25.92
